time; exact_x; exact_y; exact_heading; estimated_x; estimated_y; estimated_heading; 
5.056; -2.89513; -1.81966e-08; -1.57087; -2.9; 0; -1.5708;
5.072; -2.89312; -2.12227e-08; -1.57084; -2.9; -6.1e-05; -1.5708;
5.088; -2.89111; -1.26922e-08; -1.57081; -2.89964; -0.000155; -1.56512;
5.12; -2.88709; 3.57086e-08; -1.57078; -2.89926; -0.000243; -1.56512;
5.136; -2.88508; 7.36709e-08; -1.57078; -2.8989; -0.000335; -1.5708;
5.152; -2.88307; 1.12553e-07; -1.57077; -2.89859; -0.000392; -1.56796;
5.168; -2.88106; 1.65156e-07; -1.57077; -2.89833; -0.000462; -1.5637;
5.184; -2.87905; 2.2276e-07; -1.57077; -2.89811; -0.000489; -1.56654;
5.2; -2.87704; 2.84077e-07; -1.57077; -2.89793; -0.00053; -1.57506;
5.216; -2.87503; 3.47766e-07; -1.57077; -2.89778; -0.000581; -1.57364;
5.232; -2.87303; 4.12428e-07; -1.57077; -2.89766; -0.000601; -1.5708;
5.248; -2.87102; 4.76951e-07; -1.57077; -2.89757; -0.000654; -1.56938;
5.264; -2.86901; 5.40954e-07; -1.57077; -2.89749; -0.000638; -1.56512;
5.28; -2.867; 6.04103e-07; -1.57077; -2.89742; -0.000677; -1.57364;
5.296; -2.86499; 6.6611e-07; -1.57077; -2.89737; -0.000686; -1.56938;
5.312; -2.86298; 7.26723e-07; -1.57077; -2.89733; -0.000698; -1.56796;
5.328; -2.86097; 7.85722e-07; -1.57077; -2.89729; -0.000701; -1.56796;
5.344; -2.85896; 8.42542e-07; -1.57077; -2.89726; -0.000718; -1.57648;
5.36; -2.85695; 8.95996e-07; -1.57077; -2.89724; -0.000725; -1.56938;
5.376; -2.85494; 9.44933e-07; -1.57077; -2.89722; -0.00073; -1.56796;
5.392; -2.85293; 9.88258e-07; -1.57078; -2.89721; -0.000725; -1.57222;
5.408; -2.85092; 1.02495e-06; -1.57078; -2.89719; -0.000715; -1.55945;
5.424; -2.84891; 1.05408e-06; -1.57079; -2.89718; -0.000727; -1.55519;
5.44; -2.8469; 1.07482e-06; -1.57079; -2.89717; -0.000732; -1.56512;
5.456; -2.84489; 1.08645e-06; -1.5708; -2.89717; -0.000721; -1.57506;
5.472; -2.84288; 1.08802e-06; -1.5708; -2.89716; -0.00071; -1.57506;
5.488; -2.84087; 1.07985e-06; -1.57081; -2.89716; -0.000738; -1.5708;
5.504; -2.83886; 1.06117e-06; -1.57081; -2.89716; -0.000741; -1.56654;
5.52; -2.83685; 1.0318e-06; -1.57082; -2.89715; -0.000721; -1.56938;
5.536; -2.83484; 9.91692e-07; -1.57082; -2.89715; -0.000737; -1.56512;
5.552; -2.83283; 9.4095e-07; -1.57083; -2.89715; -0.000755; -1.57506;
5.568; -2.83082; 8.79815e-07; -1.57083; -2.89715; -0.000735; -1.56228;
5.584; -2.82881; 8.08669e-07; -1.57084; -2.89714; -0.000719; -1.57222;
5.6; -2.8268; 7.28035e-07; -1.57084; -2.89714; -0.000733; -1.57222;
5.616; -2.82479; 6.38562e-07; -1.57084; -2.89714; -0.000746; -1.56512;
5.632; -2.82279; 5.4103e-07; -1.57085; -2.89714; -0.000738; -1.56938;
5.648; -2.82078; 4.36333e-07; -1.57085; -2.89714; -0.000746; -1.57648;
5.664; -2.81877; 3.25474e-07; -1.57085; -2.89714; -0.00075; -1.56796;
5.68; -2.81676; 2.09556e-07; -1.57085; -2.89714; -0.000741; -1.57222;
5.696; -2.81475; 8.97665e-08; -1.57086; -2.89714; -0.000748; -1.5708;
5.712; -2.81274; -3.26282e-08; -1.57086; -2.89714; -0.000727; -1.5708;
5.728; -2.81073; -1.56301e-07; -1.57086; -2.89714; -0.000734; -1.5708;
5.744; -2.80872; -2.7988e-07; -1.57086; -2.89714; -0.000728; -1.5779;
5.76; -2.80671; -4.02965e-07; -1.57086; -2.89714; -0.00075; -1.57222;
5.776; -2.8047; -5.25234e-07; -1.57086; -2.89714; -0.000736; -1.55661;
5.792; -2.80269; -6.46403e-07; -1.57086; -2.89714; -0.000734; -1.56654;
5.808; -2.80068; -7.66221e-07; -1.57086; -2.89714; -0.000748; -1.56512;
5.824; -2.79867; -8.84473e-07; -1.57086; -2.89714; -0.000724; -1.55803;
5.84; -2.79666; -1.00083e-06; -1.57085; -2.89714; -0.000742; -1.56938;
5.856; -2.79465; -1.11416e-06; -1.57085; -2.89714; -0.000744; -1.57648;
5.872; -2.79264; -1.22328e-06; -1.57085; -2.89714; -0.000724; -1.56228;
5.888; -2.79063; -1.3271e-06; -1.57085; -2.89714; -0.000757; -1.55945;
5.904; -2.78862; -1.42456e-06; -1.57084; -2.89714; -0.000736; -1.57506;
5.92; -2.78661; -1.51471e-06; -1.57084; -2.89714; -0.000732; -1.56087;
5.936; -2.7846; -1.59669e-06; -1.57084; -2.89714; -0.000739; -1.5779;
5.952; -2.78259; -1.66975e-06; -1.57083; -2.89714; -0.000739; -1.56938;
5.968; -2.78058; -1.73327e-06; -1.57083; -2.89714; -0.000747; -1.55945;
5.984; -2.77857; -1.78674e-06; -1.57082; -2.89714; -0.000761; -1.58215;
6; -2.77656; -1.82981e-06; -1.57081; -2.89714; -0.000739; -1.56654;
6.016; -2.77455; -1.86225e-06; -1.57081; -2.89714; -0.000722; -1.56228;
6.032; -2.77254; -1.88397e-06; -1.5708; -2.89714; -0.000723; -1.56938;
6.048; -2.77054; -1.89503e-06; -1.5708; -2.89714; -0.000734; -1.57648;
6.064; -2.76853; -1.89565e-06; -1.57079; -2.89714; -0.000748; -1.57506;
6.08; -2.76652; -1.88616e-06; -1.57079; -2.89714; -0.000714; -1.56228;
6.096; -2.76451; -1.86705e-06; -1.57078; -2.89714; -0.000731; -1.5779;
6.112; -2.7625; -1.83892e-06; -1.57078; -2.87327; -0.000751; -1.5552;
6.128; -2.76049; -1.80253e-06; -1.57078; -2.85389; -0.000725; -1.56939;
6.144; -2.75848; -1.75873e-06; -1.57077; -2.83817; -0.00075; -1.56797;
6.16; -2.75647; -1.7085e-06; -1.57077; -2.82541; -0.000744; -1.56797;
